"file","func","value","site","tile","res","type"
"RMNP_2020_DEM_mosaic_2025-11-14_5_15m.tif","sa_1",127.333007415936,"RMNP","5","15","high-relief"
"RMNP_2020_DEM_mosaic_2025-11-14_5_1m.tif","sa_1",126.641014336574,"RMNP","5","1","high-relief"
"RMNP_2020_DEM_mosaic_2025-11-14_5_30m.tif","sa_1",127.305718628686,"RMNP","5","30","high-relief"
"RMNP_2020_DEM_mosaic_2025-11-14_5_50m.tif","sa_1",126.562120788574,"RMNP","5","50","high-relief"
"RMNP_2020_DEM_mosaic_2025-11-14_5_5m.tif","sa_1",126.640207697501,"RMNP","5","5","high-relief"
"RMNP_2020_DEM_mosaic_2025-11-14_6_100m.tif","sa_1",128.428081176758,"RMNP","6","100","high-relief"
"RMNP_2020_DEM_mosaic_2025-11-14_6_10m.tif","sa_1",129.01848765384,"RMNP","6","10","high-relief"
"RMNP_2020_DEM_mosaic_2025-11-14_6_15m.tif","sa_1",128.966853713615,"RMNP","6","15","high-relief"
"RMNP_2020_DEM_mosaic_2025-11-14_6_1m.tif","sa_1",129.024701242185,"RMNP","6","1","high-relief"
"RMNP_2020_DEM_mosaic_2025-11-14_6_30m.tif","sa_1",128.910928149108,"RMNP","6","30","high-relief"
"RMNP_2020_DEM_mosaic_2025-11-14_6_50m.tif","sa_1",128.863710811043,"RMNP","6","50","high-relief"
"RMNP_2020_DEM_mosaic_2025-11-14_6_5m.tif","sa_1",129.023049652886,"RMNP","6","5","high-relief"
"RMNP_2020_DEM_mosaic_2025-11-14_7_100m.tif","sa_1",47.5311057983399,"RMNP","7","100","high-relief"
"RMNP_2020_DEM_mosaic_2025-11-14_7_10m.tif","sa_1",47.8884709161841,"RMNP","7","10","high-relief"
"RMNP_2020_DEM_mosaic_2025-11-14_7_15m.tif","sa_1",48.013674272323,"RMNP","7","15","high-relief"
"RMNP_2020_DEM_mosaic_2025-11-14_7_1m.tif","sa_1",47.8926500477151,"RMNP","7","1","high-relief"
"RMNP_2020_DEM_mosaic_2025-11-14_7_30m.tif","sa_1",47.9879364646393,"RMNP","7","30","high-relief"
"RMNP_2020_DEM_mosaic_2025-11-14_7_50m.tif","sa_1",47.8020698104859,"RMNP","7","50","high-relief"
"RMNP_2020_DEM_mosaic_2025-11-14_7_5m.tif","sa_1",47.8914971797018,"RMNP","7","5","high-relief"
"RMNP_2020_DEM_mosaic_2025-11-14_8_100m.tif","sa_1",102.626304394531,"RMNP","8","100","high-relief"
"RMNP_2020_DEM_mosaic_2025-11-14_8_10m.tif","sa_1",103.108509693831,"RMNP","8","10","high-relief"
"RMNP_2020_DEM_mosaic_2025-11-14_8_15m.tif","sa_1",103.391744371029,"RMNP","8","15","high-relief"
