"","file","func","value","site","tile","res","type"
"31847","TEAK_2023_DEM_mosaic_2025-11-23_2_100m.tif","range",350.389404296875,"TEAK",2,100,"high-relief"
"31848","TEAK_2023_DEM_mosaic_2025-11-23_2_10m.tif","stdv",72.0941331869156,"TEAK",2,10,"high-relief"
"31849","TEAK_2023_DEM_mosaic_2025-11-23_2_10m.tif","MAD",54.818555859375,"TEAK",2,10,"high-relief"
"31850","TEAK_2023_DEM_mosaic_2025-11-23_2_10m.tif","nmodes",4,"TEAK",2,10,"high-relief"
"31851","TEAK_2023_DEM_mosaic_2025-11-23_2_10m.tif","range",370.681884765625,"TEAK",2,10,"high-relief"
"31852","TEAK_2023_DEM_mosaic_2025-11-23_2_15m.tif","stdv",71.980812914178,"TEAK",2,15,"high-relief"
"31853","TEAK_2023_DEM_mosaic_2025-11-23_2_15m.tif","MAD",55.1164513183594,"TEAK",2,15,"high-relief"
"31854","TEAK_2023_DEM_mosaic_2025-11-23_2_15m.tif","nmodes",3,"TEAK",2,15,"high-relief"
"31855","TEAK_2023_DEM_mosaic_2025-11-23_2_15m.tif","range",370.064208984375,"TEAK",2,15,"high-relief"
"31856","TEAK_2023_DEM_mosaic_2025-11-23_2_1m.tif","stdv",72.0977644756005,"TEAK",2,1,"high-relief"
"31857","TEAK_2023_DEM_mosaic_2025-11-23_2_1m.tif","MAD",54.8268810058594,"TEAK",2,1,"high-relief"
"31858","TEAK_2023_DEM_mosaic_2025-11-23_2_1m.tif","nmodes",6,"TEAK",2,1,"high-relief"
"31859","TEAK_2023_DEM_mosaic_2025-11-23_2_1m.tif","range",372.214111328125,"TEAK",2,1,"high-relief"
"31860","TEAK_2023_DEM_mosaic_2025-11-23_2_30m.tif","stdv",71.9597651575451,"TEAK",2,30,"high-relief"
"31861","TEAK_2023_DEM_mosaic_2025-11-23_2_30m.tif","MAD",54.876469921875,"TEAK",2,30,"high-relief"
"31862","TEAK_2023_DEM_mosaic_2025-11-23_2_30m.tif","nmodes",1,"TEAK",2,30,"high-relief"
"31863","TEAK_2023_DEM_mosaic_2025-11-23_2_30m.tif","range",367.1025390625,"TEAK",2,30,"high-relief"
"31864","TEAK_2023_DEM_mosaic_2025-11-23_2_50m.tif","stdv",72.0301951888441,"TEAK",2,50,"high-relief"
"31865","TEAK_2023_DEM_mosaic_2025-11-23_2_50m.tif","MAD",54.5060009033203,"TEAK",2,50,"high-relief"
"31866","TEAK_2023_DEM_mosaic_2025-11-23_2_50m.tif","nmodes",1,"TEAK",2,50,"high-relief"
"31867","TEAK_2023_DEM_mosaic_2025-11-23_2_50m.tif","range",363.542724609375,"TEAK",2,50,"high-relief"
"31868","TEAK_2023_DEM_mosaic_2025-11-23_2_5m.tif","stdv",72.0967213511551,"TEAK",2,5,"high-relief"
"31869","TEAK_2023_DEM_mosaic_2025-11-23_2_5m.tif","MAD",54.8346632080078,"TEAK",2,5,"high-relief"
"31870","TEAK_2023_DEM_mosaic_2025-11-23_2_5m.tif","nmodes",6,"TEAK",2,5,"high-relief"
"31871","TEAK_2023_DEM_mosaic_2025-11-23_2_5m.tif","range",371.38671875,"TEAK",2,5,"high-relief"
"31872","TEAK_2023_DEM_mosaic_2025-11-23_3_100m.tif","stdv",86.0412777892409,"TEAK",3,100,"high-relief"
"31873","TEAK_2023_DEM_mosaic_2025-11-23_3_100m.tif","MAD",88.2289975341797,"TEAK",3,100,"high-relief"
"31874","TEAK_2023_DEM_mosaic_2025-11-23_3_100m.tif","nmodes",1,"TEAK",3,100,"high-relief"
"31875","TEAK_2023_DEM_mosaic_2025-11-23_3_100m.tif","range",385.01123046875,"TEAK",3,100,"high-relief"
"31876","TEAK_2023_DEM_mosaic_2025-11-23_3_10m.tif","stdv",86.3243997575555,"TEAK",3,10,"high-relief"
"31877","TEAK_2023_DEM_mosaic_2025-11-23_3_10m.tif","MAD",88.5091568115234,"TEAK",3,10,"high-relief"
"31878","TEAK_2023_DEM_mosaic_2025-11-23_3_10m.tif","nmodes",3,"TEAK",3,10,"high-relief"
"31879","TEAK_2023_DEM_mosaic_2025-11-23_3_10m.tif","range",404.98193359375,"TEAK",3,10,"high-relief"
"31880","TEAK_2023_DEM_mosaic_2025-11-23_3_15m.tif","stdv",86.8429373194979,"TEAK",3,15,"high-relief"
"31881","TEAK_2023_DEM_mosaic_2025-11-23_3_15m.tif","MAD",89.0616931640625,"TEAK",3,15,"high-relief"
"31882","TEAK_2023_DEM_mosaic_2025-11-23_3_15m.tif","nmodes",2,"TEAK",3,15,"high-relief"
"31883","TEAK_2023_DEM_mosaic_2025-11-23_3_15m.tif","range",404.850341796875,"TEAK",3,15,"high-relief"
"31884","TEAK_2023_DEM_mosaic_2025-11-23_3_1m.tif","stdv",86.3284786398454,"TEAK",3,1,"high-relief"
"31885","TEAK_2023_DEM_mosaic_2025-11-23_3_1m.tif","MAD",88.4577580810547,"TEAK",3,1,"high-relief"
"31886","TEAK_2023_DEM_mosaic_2025-11-23_3_1m.tif","nmodes",6,"TEAK",3,1,"high-relief"
"31887","TEAK_2023_DEM_mosaic_2025-11-23_3_1m.tif","range",406.634033203125,"TEAK",3,1,"high-relief"
"31888","TEAK_2023_DEM_mosaic_2025-11-23_3_30m.tif","stdv",86.8191043688945,"TEAK",3,30,"high-relief"
"31889","TEAK_2023_DEM_mosaic_2025-11-23_3_30m.tif","MAD",89.1948955078125,"TEAK",3,30,"high-relief"
"31890","TEAK_2023_DEM_mosaic_2025-11-23_3_30m.tif","nmodes",1,"TEAK",3,30,"high-relief"
"31891","TEAK_2023_DEM_mosaic_2025-11-23_3_30m.tif","range",400.79150390625,"TEAK",3,30,"high-relief"
"31892","TEAK_2023_DEM_mosaic_2025-11-23_3_50m.tif","stdv",86.246391164937,"TEAK",3,50,"high-relief"
"31893","TEAK_2023_DEM_mosaic_2025-11-23_3_50m.tif","MAD",87.8371727050781,"TEAK",3,50,"high-relief"
"31894","TEAK_2023_DEM_mosaic_2025-11-23_3_50m.tif","nmodes",1,"TEAK",3,50,"high-relief"
"31895","TEAK_2023_DEM_mosaic_2025-11-23_3_50m.tif","range",393.177001953125,"TEAK",3,50,"high-relief"
"31896","TEAK_2023_DEM_mosaic_2025-11-23_3_5m.tif","stdv",86.3273516958179,"TEAK",3,5,"high-relief"
"31897","TEAK_2023_DEM_mosaic_2025-11-23_3_5m.tif","MAD",88.4563102294922,"TEAK",3,5,"high-relief"
"31898","TEAK_2023_DEM_mosaic_2025-11-23_3_5m.tif","nmodes",4,"TEAK",3,5,"high-relief"
"31899","TEAK_2023_DEM_mosaic_2025-11-23_3_5m.tif","range",405.970703125,"TEAK",3,5,"high-relief"
"31900","TEAK_2023_DEM_mosaic_2025-11-23_4_100m.tif","stdv",74.7883724558274,"TEAK",4,100,"high-relief"
