,Sa,Sq,s10z,Sdq,Sdq6,Sdr,SBI,SCI,Ssk,Sku,Sds,Sfd,Srw2,Srw3,Std1,Std2,Svi,Stxr1,Stxr2,Ssc,Sv,Sph,Sk,Smean,Spk,Svk,Scl1,Sdc,TPIv1,TRIv1,VRM,SAR,rEnt,Slope,nor,east,TPIv2,TRIv2,TRIriley,TRIrmsd,rough,stdv,MAD,nmodes,range,CuPro,CuPl,CuTot
nor,-0.33,-0.33,-0.41,-0.30,-0.41,0.16,0.04,0.39,0.10,0.10,0.27,0.18,0.18,0.18,-0.07,0.19,0.40,0.00,-0.03,-0.25,-0.40,-0.41,-0.28,-0.41,-0.27,-0.23,0.00,-0.27,-0.12,-0.32,-0.21,0.35,-0.01,-0.33,1.00,0.06,-0.12,-0.32,-0.32,-0.32,-0.33,-0.33,-0.30,-0.04,-0.32,0.00,-0.04,-0.17
east,0.01,0.01,0.04,-0.12,0.05,-0.11,-0.02,-0.05,-0.05,-0.04,-0.05,-0.10,0.01,-0.04,-0.07,-0.04,-0.05,0.07,0.09,0.08,0.05,0.05,0.06,0.05,-0.03,-0.02,0.07,0.11,-0.08,-0.11,-0.14,0.09,0.04,-0.10,0.06,1.00,-0.08,-0.11,-0.11,-0.11,-0.10,0.01,0.06,-0.02,0.01,0.03,-0.03,-0.05
TPIv2,0.14,0.15,0.04,0.16,0.04,-0.04,0.00,-0.01,-0.29,-0.09,-0.12,-0.04,-0.12,-0.07,-0.06,-0.11,0.00,-0.17,-0.13,0.06,0.01,0.04,0.25,0.04,-0.26,0.47,-0.17,-0.15,1.00,0.19,0.06,-0.21,0.04,0.19,-0.12,-0.08,1.00,0.19,0.19,0.19,0.19,0.15,0.18,-0.09,0.15,0.18,-0.12,0.13
TRIv2,0.88,0.89,0.58,0.98,0.52,-0.23,0.22,-0.40,0.07,-0.04,-0.58,-0.24,-0.36,-0.43,0.01,-0.32,-0.46,-0.01,0.03,0.58,0.47,0.58,0.87,0.52,0.67,0.58,-0.01,0.71,0.19,1.00,0.64,-0.98,0.12,1.00,-0.32,-0.11,0.19,1.00,1.00,1.00,1.00,0.89,0.84,-0.22,0.90,0.24,-0.15,0.18
TRIriley,0.88,0.89,0.58,0.98,0.52,-0.22,0.21,-0.40,0.07,-0.04,-0.57,-0.23,-0.35,-0.43,0.01,-0.31,-0.46,-0.01,0.03,0.57,0.47,0.58,0.87,0.52,0.67,0.58,-0.01,0.71,0.19,1.00,0.65,-0.98,0.11,0.99,-0.32,-0.11,0.19,1.00,1.00,1.00,1.00,0.89,0.84,-0.22,0.90,0.24,-0.16,0.17
TRIrmsd,0.88,0.89,0.58,0.98,0.52,-0.22,0.21,-0.40,0.07,-0.04,-0.57,-0.23,-0.35,-0.43,0.01,-0.31,-0.46,-0.01,0.03,0.57,0.47,0.58,0.87,0.52,0.67,0.58,-0.01,0.71,0.19,1.00,0.65,-0.98,0.11,0.99,-0.32,-0.11,0.19,1.00,1.00,1.00,1.00,0.89,0.84,-0.22,0.90,0.24,-0.16,0.17
rough,0.89,0.90,0.58,0.97,0.53,-0.25,0.22,-0.40,0.06,-0.05,-0.60,-0.25,-0.38,-0.45,0.01,-0.33,-0.46,-0.01,0.03,0.60,0.47,0.58,0.87,0.53,0.67,0.58,-0.01,0.72,0.19,1.00,0.63,-0.98,0.13,1.00,-0.33,-0.10,0.19,1.00,1.00,1.00,1.00,0.90,0.85,-0.22,0.90,0.24,-0.15,0.20
stdv,1.00,1.00,0.65,0.83,0.59,-0.40,0.30,-0.46,0.00,-0.10,-0.60,-0.44,-0.41,-0.43,0.04,-0.49,-0.53,-0.02,0.01,0.69,0.54,0.65,0.96,0.59,0.75,0.59,-0.02,0.77,0.15,0.89,0.43,-0.91,0.23,0.90,-0.33,0.01,0.15,0.89,0.89,0.89,0.90,1.00,0.97,-0.15,0.98,0.12,-0.01,0.34
MAD,0.98,0.97,0.58,0.78,0.53,-0.38,0.32,-0.39,-0.04,-0.21,-0.57,-0.41,-0.42,-0.43,0.03,-0.47,-0.46,-0.04,-0.01,0.64,0.47,0.58,0.97,0.52,0.65,0.54,-0.04,0.72,0.18,0.84,0.37,-0.86,0.21,0.85,-0.30,0.06,0.18,0.84,0.84,0.84,0.85,0.97,1.00,-0.11,0.93,0.12,-0.02,0.33
nmodes,-0.14,-0.15,0.01,-0.20,0.03,0.25,-0.12,-0.07,-0.10,-0.23,0.36,0.22,0.08,0.29,-0.10,0.24,-0.06,-0.01,-0.01,-0.32,0.05,0.01,-0.14,0.03,-0.14,-0.23,-0.01,-0.19,-0.09,-0.22,0.04,0.21,-0.20,-0.24,-0.04,-0.02,-0.09,-0.22,-0.22,-0.22,-0.22,-0.15,-0.11,1.00,-0.20,0.03,-0.08,-0.22
range,0.97,0.98,0.70,0.84,0.65,-0.41,0.24,-0.52,-0.01,-0.01,-0.62,-0.45,-0.39,-0.42,0.07,-0.48,-0.58,-0.02,0.03,0.71,0.59,0.70,0.95,0.65,0.76,0.65,-0.02,0.83,0.15,0.90,0.45,-0.90,0.23,0.91,-0.32,0.01,0.15,0.90,0.90,0.90,0.90,0.98,0.93,-0.20,1.00,0.11,0.00,0.35
CuPro,0.11,0.12,0.10,0.33,0.10,0.40,-0.35,-0.09,-0.09,-0.02,-0.32,0.39,0.08,-0.19,-0.05,0.28,-0.09,0.09,0.21,0.11,0.09,0.10,0.15,0.10,-0.02,0.14,0.09,-0.02,0.18,0.24,0.38,-0.26,-0.31,0.23,0.00,0.03,0.18,0.24,0.24,0.24,0.24,0.12,0.12,0.03,0.11,1.00,-0.98,-0.62
CuPl,-0.01,-0.01,-0.03,-0.27,-0.03,-0.54,0.38,0.03,0.03,-0.03,0.18,-0.53,-0.22,0.04,0.04,-0.44,0.03,-0.11,-0.22,0.06,-0.03,-0.03,-0.04,-0.03,0.07,-0.04,-0.11,0.09,-0.12,-0.16,-0.42,0.16,0.39,-0.13,-0.04,-0.03,-0.12,-0.15,-0.16,-0.16,-0.15,-0.01,-0.02,-0.08,0.00,-0.98,1.00,0.76
CuTot,0.34,0.34,0.22,0.01,0.20,-0.84,0.37,-0.16,-0.19,-0.17,-0.34,-0.84,-0.61,-0.45,0.01,-0.83,-0.18,-0.14,-0.20,0.58,0.18,0.22,0.33,0.20,0.22,0.30,-0.14,0.30,0.13,0.17,-0.43,-0.18,0.54,0.24,-0.17,-0.05,0.13,0.18,0.17,0.17,0.20,0.34,0.33,-0.22,0.35,-0.62,0.76,1.00
