"","PC1_Rval","PC2_Rval","PC3_Rval","PC4_Rval","PC5_Rval","PC6_Rval","PC7_Rval","PC8_Rval","PC9_Rval","PC10_Rval","PC11_Rval","PC12_Rval","PC13_Rval","PC14_Rval","PC15_Rval","PC16_Rval","PC17_Rval","PC18_Rval","PC19_Rval","PC20_Rval","PC21_Rval","PC22_Rval","PC23_Rval","PC24_Rval","PC25_Rval","PC26_Rval","PC27_Rval","PC28_Rval","PC29_Rval","PC30_Rval","PC31_Rval","PC32_Rval","PC33_Rval"
"21",0.685948441704751,0.262742426331338,0.216052305129429,0.246509887172681,0.187692066729146,0.175627360448412,0.132580172381851,0.128996001615709,0.0401908159505326,0.08894938766239,0.122949499390308,0.0766578849943006,0.0857671231534847,0.0807206410017769,0.0871638534190122,0.0727432502973562,0.0537085782918253,0.0655789403454828,0.0333627399643234,0.0458881128156397,0.0217875607101641,0.0211026776808359,0.0206333674836429,0.00851648041168954,0.00624465651855876,0.010744926300208,0.00535480198718952,0.000753393340716668,0.0008429332244818,1.28846986646944e-05,9.1073772780974e-06,6.73421458984953e-08,0.0679573069444529
"22",0.694178616647649,0.34604311593719,0.22072437247106,0.257082227997207,0.200421501225802,0.183467470408793,0.145356558970533,0.132012811851677,0.0408693058599262,0.0930193547104843,0.133147135261564,0.0829238344954477,0.0908723383185023,0.0844817027715069,0.0905986441513636,0.0802358422711734,0.0551193331144334,0.0692537140388185,0.0469607655345578,0.046165438508846,0.0250139700947796,0.0315498211881048,0.0225040343006922,0.0106394678566234,0.00764729908237017,0.0107705202230188,0.00872148673335065,0.000939280777918302,0.00084801858743224,2.97289478609608e-05,9.2039179631598e-06,1.06361721017802e-07,0.0800829851536279
"23",0.754222385763942,0.396261407310977,0.263502485533854,0.260766033738558,0.207398202891985,0.203436710130753,0.150494426775502,0.14042256034862,0.0434956625285344,0.0957176496400721,0.138797796975078,0.0832321822213525,0.0990785021115728,0.0898390477180676,0.0917643536253986,0.110756399945288,0.0565152107594501,0.0736788204490164,0.0700832301547801,0.0483932240882516,0.0297328022678015,0.0373405975969999,0.0261347261827499,0.0113449149093049,0.0091322067510555,0.0123785250313267,0.00951185373368068,0.00109467565702937,0.000952802392864935,3.14814958233438e-05,4.15756765622556e-05,4.03003538752042e-07,0.0806055971295865
"24",0.767745659387421,0.461491878599524,0.28180487492711,0.261550181286119,0.219074535937853,0.306690472666413,0.157889708944201,0.144564263240144,0.0444902532855429,0.100178785530095,0.146127026847572,0.0882169955579973,0.107863372897515,0.0982359399539343,0.100085224733376,0.122132015900343,0.063138826884818,0.0774819853803907,0.0701233937458953,0.0499221446385248,0.0335151296463828,0.0374121404107719,0.0276409511561921,0.0142026392914251,0.00931998789297199,0.0178180933863304,0.00993319948450935,0.00333106885401865,0.00112551834886698,4.15187526311412e-05,7.71575636223264e-05,7.61663846496562e-07,0.100055634584819
"25",0.794154244230979,0.472781219488541,0.337884522363982,0.262627583593371,0.224041092480664,0.319681853729401,0.167685097880778,0.155927339251175,0.0454528737941763,0.113770554817994,0.158331459712084,0.0895485609962534,0.111179983042081,0.0986104823244413,0.102630026411515,0.122523970543076,0.0705817740548893,0.0814208731359916,0.0709671648714929,0.0582924180875253,0.0387143210509044,0.0507637123412573,0.0277247032923877,0.0145601501810392,0.0135038508323732,0.0188694434089044,0.0114172296551783,0.00370884526128195,0.00118266779935036,9.96953329494468e-05,0.000117026767813355,1.37992959233454e-06,0.1116034516941
"26",0.830494800508162,0.487183396056259,0.391222073740498,0.266106989345801,0.250084689118002,0.319814685806581,0.172073613160367,0.158618418241845,0.0728198795967498,0.124002643533249,0.168960628222208,0.0952208935706183,0.124733527517115,0.11261433651535,0.107030726956543,0.123561524222451,0.0757952949170359,0.0846281210089169,0.0738172769501524,0.0608260588941554,0.0436495492474951,0.0630269890347998,0.0353819210028671,0.0233304617133391,0.0137757960390013,0.0255805013062003,0.0115758100492992,0.00398309866580488,0.00120435826223121,0.000203159265729675,0.000129442963264344,1.42945936832339e-06,0.120299926808867
"27",0.886295547090596,0.501141534321806,0.408458085965955,0.317958087827012,0.408162487433606,0.332883429290479,0.195326384736665,0.168440481782046,0.0807030761185596,0.159898285672852,0.183420591397761,0.126546614364398,0.138307541841303,0.122667571279666,0.115612918250774,0.128282023423613,0.077223558646456,0.0903844595779747,0.08198359354062,0.0662649693498102,0.0437153289728145,0.0650569090420218,0.0374504095665865,0.023413252642413,0.0171020311346895,0.0293617708776389,0.0117672686678367,0.00445763855869204,0.00122088708444335,0.000390331226005118,0.000361001029753076,1.85309817738379e-06,0.130495355772834
"28",0.891572486939978,0.526255039805815,0.431586099322873,0.377297513211099,0.415937269333503,0.333780539272188,0.24788939224959,0.244131671271839,0.0867639403714086,0.184088016299133,0.198444432999302,0.135230658039804,0.153402794812596,0.126513869485414,0.116981263472707,0.135358064216462,0.0817637240838385,0.107821972019958,0.0979904876518037,0.0707427604638507,0.051005194470926,0.0681856580479274,0.0423549828751583,0.0309680250053115,0.0181019694527241,0.0295695105868309,0.013141006833995,0.00504262327266022,0.00129036947040355,0.000800378908570021,0.000421884151322023,1.95128017565087e-06,0.131627022992703
"29",0.921195063648196,0.532158592256479,0.533407115860511,0.420132232288138,0.450273356638623,0.33649863802519,0.344329466512738,0.244229121021855,0.0989251109244975,0.187259045367652,0.204636845341784,0.187399558853439,0.19040245996766,0.132180000419119,0.134652137795412,0.138235023045764,0.0905386648582335,0.108664060174978,0.0995176312014804,0.0779964120459674,0.0596396589923326,0.0729541247305516,0.0428561073549285,0.0432937040757628,0.0262025208385286,0.0325891316012369,0.0211151088997702,0.00834367271307186,0.00272625499390775,0.00123476506409856,0.000568607026880341,8.51885864866566e-06,0.136021365896883
"30",0.925204853280766,0.551974926105517,0.547166889667275,0.459566713171513,0.465197746780866,0.364319948854285,0.384574121204644,0.277945805358741,0.163285684781163,0.204838328303503,0.220203296476194,0.191110526309984,0.205326910715718,0.14852153725924,0.146110838707271,0.146956493758549,0.135101924729324,0.108951687493853,0.105220937737044,0.0938941970782317,0.0797828663147379,0.0737424508795322,0.0763074784440866,0.0465867160821876,0.0281970972239847,0.0370512122920764,0.0254584831108054,0.00973834406000808,0.00652330704400643,0.00144407080641349,0.000604257462869282,5.22988556601793e-05,0.140819345551029
"31",0.937901480092553,0.607208584319001,0.551396669050256,0.575491825268926,0.490881143445042,0.382735036162983,0.400665061508737,0.360203765219869,0.303603162116582,0.372068438009896,0.230667089001084,0.207448286850198,0.214141216739382,0.172773715734862,0.161044917957312,0.165101898272895,0.155864979401026,0.1142429826577,0.109292364480547,0.0995436052045348,0.0804874185564047,0.0758330133968805,0.0783753108705586,0.0490337505228336,0.0386437206234337,0.0390422928944383,0.038091099981097,0.0101117646413996,0.0107339012896082,0.00146438454119527,0.00121140860991964,8.22788078428586e-05,0.144378846177333
"32",0.939692504189474,0.737283636181722,0.576334136716812,0.584709594814969,0.522091157717504,0.437151859498539,0.459588220175911,0.404171893200981,0.493698607787081,0.425453932023716,0.240711832305295,0.270208061133532,0.229112716126137,0.210434077584081,0.17893283212489,0.193393477719395,0.170475117666275,0.136991707521936,0.140484551553572,0.103452538995523,0.139265443415755,0.107160899854924,0.0806578259804683,0.0643872603362769,0.068700371317507,0.0450012660645841,0.0429371428859057,0.0141709852540907,0.0119043030594857,0.00166045056159537,0.00158035026977222,0.000173888778998062,0.205923506574779
"33",0.956350093146419,0.861010497315621,0.596958695052892,0.61367087503372,0.534878109284612,0.455959102035777,0.505436722146316,0.497858796174671,0.660410462438375,0.486999661559235,0.357513336285815,0.44205055124997,0.26368936423557,0.339651534576365,0.252969876090486,0.219418021323375,0.247243799671342,0.171642340829754,0.203573129688845,0.116120548852989,0.159581383015456,0.110603589012447,0.110783492100832,0.0709069961232223,0.0756713836219803,0.0452282032116569,0.0524457822581464,0.0234591191828442,0.0155551681561994,0.00302516314960234,0.00220368148577154,0.000280577525048511,0.241522385088246
