"","sa_1","sq_1","s10z_1","sdq_1","sdq6_1","sdr_1","sbi_1","sci_1","ssk_1","sku_1","sds_1","sfd_1","srw_2","srw_3","std_1","std_2","svi_1","stxr_1","stxr_2","ssc_1","sv_1","sph_1","sk_1","smean_1","spk_1","svk_1","scl_1","sdc_1","tpi_1","tri_1","vrm_1","sar_1","raster.entropy_1","slope_1","northness_1","eastness_1","TPI_1","TRI_1","TRIriley_1","TRIrmsd_1","roughness_1","stdv_1","mad_1","nmodes_1","range_1","curvature_profile_1","curvature_planform_1","curvature_total_1"
"sds_1",-0.595067212160521,-0.602670359997155,-0.558044825662949,-0.510452461596596,-0.532666840735479,0.578452245019405,0.0262774113111963,0.468104181009349,0.204649415125105,0.201990545895558,1,0.510931251587905,0.560881405529696,0.805847511234276,-0.055912667371374,0.591210930662767,0.500349073613528,-0.0395983887224888,-0.124720674665939,-0.868090483303273,-0.505533269229951,-0.557811488324868,-0.604796349459681,-0.531660070593645,-0.438842942220085,-0.420944399882422,-0.0395983887224977,-0.500733666107996,-0.119174560457729,-0.573212127435869,-0.111781918611489,0.594100561529125,-0.175470785548548,-0.635682783358174,0.269078452927777,-0.0499722847879011,-0.119174560457629,-0.580199003084934,-0.573208200051869,-0.573208200051836,-0.596175757270413,-0.602670359997155,-0.574491092281425,0.359605168626431,-0.619042782881692,-0.319798663836553,0.177690547043463,-0.335386118789848
"sfd_1",-0.429972535189007,-0.436588427159447,-0.397780146328302,-0.0749258934213958,-0.377390775978081,0.908429103955799,-0.226118528428246,0.330389071255324,0.141352397243964,0.11598675040264,0.510931251587905,1,0.624249830019601,0.542211699053247,-0.101044865224276,0.810377525793503,0.355037126797709,0.0497537424245424,0.05083582603116,-0.755104775830695,-0.358629903322229,-0.398011235424686,-0.417147174392017,-0.376618916572343,-0.361920597514725,-0.290255922056695,0.0497537424245596,-0.404152127807101,-0.0392634339212747,-0.226598117843873,0.402193114546603,0.258516848893577,-0.587626053042374,-0.292677742642339,0.176734071099321,-0.102883837453279,-0.0392634339212294,-0.237456964822619,-0.226541022211128,-0.226541022211214,-0.250176778075085,-0.436588427159447,-0.405229457120426,0.223274973399318,-0.451877077876971,0.386282539463827,-0.531202707813815,-0.838630915169345
"srw_2",-0.411792218415437,-0.410202314516543,-0.33877290204826,-0.211034278572214,-0.319748813300518,0.647049903510547,-0.292524707308375,0.27595368844493,0.13403589705839,0.307653875885125,0.560881405529696,0.624249830019601,1,0.716005200095438,-0.0351418482784463,0.708706401515086,0.299411927336115,0.140931675559377,0.153644491756929,-0.630790809837364,-0.302507488238345,-0.338092006709203,-0.430376202990535,-0.318864740632553,-0.26039794039624,-0.216209183457101,0.140931675559399,-0.32814698427663,-0.117887771780652,-0.351386880911339,0.256720143031512,0.3753322449951,-0.408678879530824,-0.416141540559733,0.182811625138493,0.00936113243766074,-0.117887771780559,-0.362540754017246,-0.35139424352558,-0.3513942435256,-0.37782091667724,-0.410202314516543,-0.423453506013834,0.0828990619346298,-0.394280270383986,0.0806377016076539,-0.222588401979522,-0.6139048470482
"srw_3",-0.425281801156395,-0.425694916733993,-0.32029741107571,-0.347767634816238,-0.297059748574599,0.62449121153821,0.00316138682257479,0.245626883742449,0.158291300730137,0.232729095661949,0.805847511234276,0.542211699053247,0.716005200095438,1,-0.024731416901777,0.651290786406736,0.272856842637089,-0.0241248129612383,-0.110583633972392,-0.787855843809655,-0.276399831135866,-0.319992728225142,-0.44148478866674,-0.296168431951294,-0.303052866490036,-0.227905705226135,-0.0241248129612246,-0.365313303550756,-0.074125626270502,-0.42639124608517,0.110320714697926,0.439572349136311,-0.230072468588602,-0.493192056771855,0.179291456099272,-0.0419228633595792,-0.0741256262704579,-0.434838818448798,-0.426393601253557,-0.426393601253566,-0.451967696953335,-0.425694916733993,-0.434705905273955,0.285232012778818,-0.421680420412252,-0.190076107681952,0.0419005770956956,-0.449651004256035
"std_1",0.0408376539059986,0.0424545096838566,0.147057466611105,-0.0024188541836759,0.151811738298507,-0.0358427675535872,-0.0957458341996681,-0.159466547614097,-0.0520159358861941,0.19441585637367,-0.055912667371374,-0.101044865224276,-0.0351418482784463,-0.024731416901777,1,0.0834568849816766,-0.153005314514799,0.070582364277071,0.137797745712895,0.110009791687005,0.153033849554273,0.14812808428401,0.016929468159371,0.151797808325277,0.0528670559998023,0.145564549323371,0.070582364277062,0.129519442705453,-0.0567412983455731,0.0134641922839068,-0.0100132185704986,0.00162277081334456,0.116164782115602,0.0156353034526327,-0.0676028136343003,-0.0717290272157317,-0.0567412983455621,0.0138338344136437,0.0134153000334387,0.0134153000334297,0.0135484739853943,0.0424545096838566,0.031043428194506,-0.0973940327090019,0.0724541009754795,-0.0477776311138783,0.0420648558823359,0.0108606876516447
"std_2",-0.482922432212867,-0.486656888688467,-0.357982326995614,-0.162556406178321,-0.33220452572433,0.880627775719978,-0.33819636355343,0.270614896022445,0.246764780312654,0.311577693873289,0.591210930662767,0.810377525793503,0.708706401515086,0.651290786406736,0.0834568849816766,1,0.301315913520948,0.142293932762471,0.181134645461956,-0.756257421239,-0.306271019193564,-0.357649723197641,-0.485382116945908,-0.331229246973533,-0.343286012866147,-0.308742589745433,0.142293932762491,-0.378987308162556,-0.110480005215635,-0.306695999271789,0.357620780385343,0.345939733806623,-0.448253711031527,-0.37765412315314,0.188163184008082,-0.0373724551399574,-0.110480005215618,-0.317982997517347,-0.306702162184371,-0.306702162184461,-0.333045050252657,-0.486656888688467,-0.47269723692043,0.241584680170391,-0.484299111251819,0.279735870008439,-0.440627878425346,-0.827109014501291
"svi_1",-0.511739069397385,-0.528187771747417,-0.987538419388603,-0.405899051464188,-0.995769812040607,0.311828674544845,0.410590197442754,0.996036573583792,0.113807052934551,0.0396622950324494,0.500349073613528,0.355037126797709,0.299411927336115,0.272856842637089,-0.153005314514799,0.301315913520948,1,-0.114564660800522,-0.2310771997942,-0.519081227593356,-0.999857721163738,-0.987468461529668,-0.548606198552429,-0.995945695137101,-0.39322455391898,-0.453944483544694,-0.114564660800537,-0.491763610401757,-0.00323211822237589,-0.461132258401001,-0.300893630563426,0.470124194046823,-0.184223443619939,-0.473709255641614,0.403657130761001,-0.0516372816086156,-0.00323211822223777,-0.461465856784491,-0.461090163453656,-0.461090163453606,-0.464729343032751,-0.528187771747417,-0.462796605742567,-0.0601616854689938,-0.582401672897162,-0.0920006354255738,0.0310599813798711,-0.175290666015296
"stxr_1",-0.017867631171345,-0.0167767463442031,0.0941193284016221,0.0348761784893097,0.0981532589735717,0.0618532737096732,-0.285734057733611,-0.114365191092439,0.11340333661348,0.087553496759447,-0.0395983887224888,0.0497537424245424,0.140931675559377,-0.0241248129612383,0.070582364277071,0.142293932762471,-0.114564660800522,1,0.93808370385854,0.0202381060435333,0.111312827355624,0.0945450829399713,-0.0600904801918809,0.0983288153440728,0.099042874717565,-0.113673987542827,1,0.0293852914406294,-0.171064383366105,-0.00513510193510378,0.112333725785368,0.0155472438504257,-0.0687876190659372,-0.0163785696486768,0.00217230545398657,0.0719520825196484,-0.171064383366129,-0.00777188555431562,-0.00517210622416981,-0.00517210622418413,-0.00973259278938366,-0.0167767463442031,-0.0443128209424337,-0.00566202260240496,-0.0204806381225053,0.0941561457696625,-0.113915287089958,-0.143264010490766
"stxr_2",0.0108400424099975,0.0143271100975618,0.205572421772848,0.0775165617870298,0.214188242644229,0.0610435109603584,-0.507697904605289,-0.235407045271739,0.0449506726889431,0.138223047112957,-0.124720674665939,0.05083582603116,0.153644491756929,-0.110583633972392,0.137797745712895,0.181134645461956,-0.2310771997942,0.93808370385854,1,0.0910123827689138,0.22804141603491,0.205883359919733,-0.00929669100437495,0.214508326344394,0.0913112564685821,-0.0338149348023867,0.938083703858548,0.0615709386116746,-0.13448780778128,0.034129398919409,0.166131702763429,-0.0155810851716054,-0.108379311099552,0.0225392345296329,-0.0264844587973438,0.0944173481327554,-0.134487807781304,0.0307875248974215,0.0340914178371527,0.0340914178371104,0.0284005500414248,0.0143271100975618,-0.0109689570497768,-0.00560113772729616,0.0256455608462104,0.209312276580719,-0.222722750521735,-0.198594788047364
"ssc_1",0.676445717072921,0.685290073002103,0.590775444732138,0.472667403825608,0.556351773569398,-0.751588501908567,0.0858018299948793,-0.478054922308643,-0.11430683596573,-0.0959440322547506,-0.868090483303273,-0.755104775830695,-0.630790809837364,-0.787855843809655,0.110009791687005,-0.756257421239,-0.519081227593356,0.0202381060435333,0.0910123827689138,1,0.524662891292404,0.59116366832756,0.654829675613828,0.555105507627541,0.57310786847787,0.452036926408506,0.0202381060435381,0.63694524169596,0.0588220787355888,0.574115709525162,-0.00837389859039098,-0.57865698828173,0.35708636622801,0.63851762562825,-0.252363665372385,0.0762730388934221,0.0588220787354902,0.582544710735695,0.574062766505059,0.574062766505093,0.5962216686008,0.685290073002103,0.642098485082768,-0.319311558237844,0.710354169312012,0.107702623045505,0.0593368454621475,0.581184466576701
