"file","func","value","site","tile","res"
"CPER_2020_DEM_mosaic_2025-10-22_6_50m.tif","sa_1",7.89248206214903,"CPER","6","50"
"CPER_2020_DEM_mosaic_2025-10-22_6_5m.tif","sa_1",7.91585924368067,"CPER","6","5"
"CPER_2020_DEM_mosaic_2025-10-22_7_100m.tif","sa_1",8.57009670562745,"CPER","7","100"
"CPER_2020_DEM_mosaic_2025-10-22_7_10m.tif","sa_1",8.66551060723409,"CPER","7","10"
"CPER_2020_DEM_mosaic_2025-10-22_7_15m.tif","sa_1",8.68444395553811,"CPER","7","15"
"CPER_2020_DEM_mosaic_2025-10-22_7_1m.tif","sa_1",8.66673279864606,"CPER","7","1"
"CPER_2020_DEM_mosaic_2025-10-22_7_30m.tif","sa_1",8.67696872869449,"CPER","7","30"
"CPER_2020_DEM_mosaic_2025-10-22_7_50m.tif","sa_1",8.64230818481446,"CPER","7","50"
"CPER_2020_DEM_mosaic_2025-10-22_7_5m.tif","sa_1",8.66638989045775,"CPER","7","5"
"CPER_2020_DEM_mosaic_2025-10-22_8_100m.tif","sa_1",10.0225937805176,"CPER","8","100"
"CPER_2020_DEM_mosaic_2025-10-22_8_10m.tif","sa_1",10.0638416740553,"CPER","8","10"
"CPER_2020_DEM_mosaic_2025-10-22_8_15m.tif","sa_1",10.1027985692897,"CPER","8","15"
"CPER_2020_DEM_mosaic_2025-10-22_8_1m.tif","sa_1",10.0643660840676,"CPER","8","1"
"CPER_2020_DEM_mosaic_2025-10-22_8_30m.tif","sa_1",10.1000406886167,"CPER","8","30"
"CPER_2020_DEM_mosaic_2025-10-22_8_50m.tif","sa_1",10.0524708476066,"CPER","8","50"
"CPER_2020_DEM_mosaic_2025-10-22_8_5m.tif","sa_1",10.0642327800685,"CPER","8","5"
"CPER_2020_DEM_mosaic_2025-10-22_9_100m.tif","sa_1",4.35621620330811,"CPER","9","100"
"CPER_2020_DEM_mosaic_2025-10-22_9_10m.tif","sa_1",4.39960656584613,"CPER","9","10"
"CPER_2020_DEM_mosaic_2025-10-22_9_15m.tif","sa_1",4.4336417532001,"CPER","9","15"
"CPER_2020_DEM_mosaic_2025-10-22_9_1m.tif","sa_1",4.40074129789887,"CPER","9","1"
"CPER_2020_DEM_mosaic_2025-10-22_9_30m.tif","sa_1",4.42822469705516,"CPER","9","30"
"CPER_2020_DEM_mosaic_2025-10-22_9_50m.tif","sa_1",4.38506181449886,"CPER","9","50"
"CPER_2020_DEM_mosaic_2025-10-22_9_5m.tif","sa_1",4.40034704701889,"CPER","9","5"
"WOOD_2019_DEM_mosaic_2025-10-22_1_100m.tif","sa_1",6.80246137847904,"WOOD","1","100"
"WOOD_2019_DEM_mosaic_2025-10-22_1_10m.tif","sa_1",6.88680981875281,"WOOD","1","10"
"WOOD_2019_DEM_mosaic_2025-10-22_1_15m.tif","sa_1",6.8998959024035,"WOOD","1","15"
"WOOD_2019_DEM_mosaic_2025-10-22_1_1m.tif","sa_1",6.8893900821579,"WOOD","1","1"
"WOOD_2019_DEM_mosaic_2025-10-22_1_30m.tif","sa_1",6.88918797352112,"WOOD","1","30"
"WOOD_2019_DEM_mosaic_2025-10-22_1_50m.tif","sa_1",6.85609058618555,"WOOD","1","50"
"WOOD_2019_DEM_mosaic_2025-10-22_1_5m.tif","sa_1",6.88856542724955,"WOOD","1","5"
"WOOD_2019_DEM_mosaic_2025-10-22_2_100m.tif","sa_1",5.83938473510742,"WOOD","2","100"
"WOOD_2019_DEM_mosaic_2025-10-22_2_10m.tif","sa_1",5.96211053403539,"WOOD","2","10"
"WOOD_2019_DEM_mosaic_2025-10-22_2_15m.tif","sa_1",5.96506869643935,"WOOD","2","15"
"WOOD_2019_DEM_mosaic_2025-10-22_2_1m.tif","sa_1",5.96522641218155,"WOOD","2","1"
"WOOD_2019_DEM_mosaic_2025-10-22_2_30m.tif","sa_1",5.9514344051215,"WOOD","2","30"
"WOOD_2019_DEM_mosaic_2025-10-22_2_50m.tif","sa_1",5.91840323495863,"WOOD","2","50"
"WOOD_2019_DEM_mosaic_2025-10-22_2_5m.tif","sa_1",5.96417552152273,"WOOD","2","5"
"WOOD_2019_DEM_mosaic_2025-10-22_3_100m.tif","sa_1",5.96200379333496,"WOOD","3","100"
"WOOD_2019_DEM_mosaic_2025-10-22_3_10m.tif","sa_1",6.05248953877001,"WOOD","3","10"
"WOOD_2019_DEM_mosaic_2025-10-22_3_15m.tif","sa_1",6.06501317352895,"WOOD","3","15"
"WOOD_2019_DEM_mosaic_2025-10-22_3_1m.tif","sa_1",6.05484825511655,"WOOD","3","1"
"WOOD_2019_DEM_mosaic_2025-10-22_3_30m.tif","sa_1",6.05509006304747,"WOOD","3","30"
"WOOD_2019_DEM_mosaic_2025-10-22_3_50m.tif","sa_1",6.02076754059791,"WOOD","3","50"
"WOOD_2019_DEM_mosaic_2025-10-22_3_5m.tif","sa_1",6.05409541442501,"WOOD","3","5"
"WOOD_2019_DEM_mosaic_2025-10-22_4_100m.tif","sa_1",5.74743862609863,"WOOD","4","100"
"WOOD_2019_DEM_mosaic_2025-10-22_4_10m.tif","sa_1",5.80025821383131,"WOOD","4","10"
"WOOD_2019_DEM_mosaic_2025-10-22_4_15m.tif","sa_1",5.81867643266667,"WOOD","4","15"
"WOOD_2019_DEM_mosaic_2025-10-22_4_1m.tif","sa_1",5.80207902882275,"WOOD","4","1"
"WOOD_2019_DEM_mosaic_2025-10-22_4_30m.tif","sa_1",5.81134162545345,"WOOD","4","30"
"WOOD_2019_DEM_mosaic_2025-10-22_4_50m.tif","sa_1",5.77804522109029,"WOOD","4","50"
"WOOD_2019_DEM_mosaic_2025-10-22_4_5m.tif","sa_1",5.80152566735889,"WOOD","4","5"
"WOOD_2019_DEM_mosaic_2025-10-22_5_100m.tif","sa_1",6.6868964263916,"WOOD","5","100"
"WOOD_2019_DEM_mosaic_2025-10-22_5_10m.tif","sa_1",6.76134933323717,"WOOD","5","10"
"WOOD_2019_DEM_mosaic_2025-10-22_5_15m.tif","sa_1",6.75421133690159,"WOOD","5","15"
"WOOD_2019_DEM_mosaic_2025-10-22_5_1m.tif","sa_1",6.76358267587359,"WOOD","5","1"
"WOOD_2019_DEM_mosaic_2025-10-22_5_30m.tif","sa_1",6.74510216421257,"WOOD","5","30"
"WOOD_2019_DEM_mosaic_2025-10-22_5_50m.tif","sa_1",6.73819026851648,"WOOD","5","50"
"WOOD_2019_DEM_mosaic_2025-10-22_5_5m.tif","sa_1",6.76285650639664,"WOOD","5","5"
"WOOD_2019_DEM_mosaic_2025-10-22_6_100m.tif","sa_1",7.00520343475345,"WOOD","6","100"
"WOOD_2019_DEM_mosaic_2025-10-22_6_10m.tif","sa_1",7.07011327207923,"WOOD","6","10"
"WOOD_2019_DEM_mosaic_2025-10-22_6_15m.tif","sa_1",7.09455379468838,"WOOD","6","15"
"WOOD_2019_DEM_mosaic_2025-10-22_6_1m.tif","sa_1",7.07221122061715,"WOOD","6","1"
"WOOD_2019_DEM_mosaic_2025-10-22_6_30m.tif","sa_1",7.08410486832464,"WOOD","6","30"
"WOOD_2019_DEM_mosaic_2025-10-22_6_50m.tif","sa_1",7.04364277801523,"WOOD","6","50"
"WOOD_2019_DEM_mosaic_2025-10-22_6_5m.tif","sa_1",7.07154123629042,"WOOD","6","5"
"WOOD_2019_DEM_mosaic_2025-10-22_7_100m.tif","sa_1",4.8111601409912,"WOOD","7","100"
"WOOD_2019_DEM_mosaic_2025-10-22_7_10m.tif","sa_1",4.95117000531373,"WOOD","7","10"
"WOOD_2019_DEM_mosaic_2025-10-22_7_15m.tif","sa_1",4.96480133966113,"WOOD","7","15"
"WOOD_2019_DEM_mosaic_2025-10-22_7_1m.tif","sa_1",4.9546735475655,"WOOD","7","1"
"WOOD_2019_DEM_mosaic_2025-10-22_7_30m.tif","sa_1",4.94605669568612,"WOOD","7","30"
"WOOD_2019_DEM_mosaic_2025-10-22_7_50m.tif","sa_1",4.89996411390305,"WOOD","7","50"
"WOOD_2019_DEM_mosaic_2025-10-22_7_5m.tif","sa_1",4.95368729755499,"WOOD","7","5"
"WOOD_2019_DEM_mosaic_2025-10-22_8_100m.tif","sa_1",5.0972000427246,"WOOD","8","100"
"WOOD_2019_DEM_mosaic_2025-10-22_8_10m.tif","sa_1",5.18560222611415,"WOOD","8","10"
"WOOD_2019_DEM_mosaic_2025-10-22_8_15m.tif","sa_1",5.20951359760068,"WOOD","8","15"
"WOOD_2019_DEM_mosaic_2025-10-22_8_1m.tif","sa_1",5.18795116716389,"WOOD","8","1"
"WOOD_2019_DEM_mosaic_2025-10-22_8_30m.tif","sa_1",5.19889078326607,"WOOD","8","30"
"WOOD_2019_DEM_mosaic_2025-10-22_8_50m.tif","sa_1",5.15591549630163,"WOOD","8","50"
"WOOD_2019_DEM_mosaic_2025-10-22_8_5m.tif","sa_1",5.18716888108154,"WOOD","8","5"
"WOOD_2019_DEM_mosaic_2025-10-22_9_100m.tif","sa_1",6.16622927856442,"WOOD","9","100"
"WOOD_2019_DEM_mosaic_2025-10-22_9_10m.tif","sa_1",6.24349531252092,"WOOD","9","10"
