"func","ORNL_2018_DEM_mosaic_2025-10-22_1.tif","ORNL_2018_DEM_mosaic_2025-10-22_2.tif","ORNL_2018_DEM_mosaic_2025-10-22_3.tif","ORNL_2018_DEM_mosaic_2025-10-22_4.tif","ORNL_2018_DEM_mosaic_2025-10-22_5.tif","ORNL_2018_DEM_mosaic_2025-10-22_6.tif","ORNL_2018_DEM_mosaic_2025-10-22_7.tif","ORNL_2018_DEM_mosaic_2025-10-22_8.tif","ORNL_2018_DEM_mosaic_2025-10-22_9.tif","RMNP_2020_DEM_mosaic_2025-10-22_1.tif","RMNP_2020_DEM_mosaic_2025-10-22_2.tif","RMNP_2020_DEM_mosaic_2025-10-22_3.tif","RMNP_2020_DEM_mosaic_2025-10-22_4.tif","RMNP_2020_DEM_mosaic_2025-10-22_5.tif","RMNP_2020_DEM_mosaic_2025-10-22_6.tif","RMNP_2020_DEM_mosaic_2025-10-22_7.tif","RMNP_2020_DEM_mosaic_2025-10-22_8.tif","RMNP_2020_DEM_mosaic_2025-10-22_9.tif","CPER_2020_DEM_mosaic_2025-10-22_1.tif","CPER_2020_DEM_mosaic_2025-10-22_2.tif","CPER_2020_DEM_mosaic_2025-10-22_3.tif","CPER_2020_DEM_mosaic_2025-10-22_4.tif","CPER_2020_DEM_mosaic_2025-10-22_5.tif","CPER_2020_DEM_mosaic_2025-10-22_6.tif","CPER_2020_DEM_mosaic_2025-10-22_7.tif","CPER_2020_DEM_mosaic_2025-10-22_8.tif","CPER_2020_DEM_mosaic_2025-10-22_9.tif","WOOD_2019_DEM_mosaic_2025-10-22_1.tif","WOOD_2019_DEM_mosaic_2025-10-22_2.tif","WOOD_2019_DEM_mosaic_2025-10-22_3.tif","WOOD_2019_DEM_mosaic_2025-10-22_4.tif","WOOD_2019_DEM_mosaic_2025-10-22_5.tif","WOOD_2019_DEM_mosaic_2025-10-22_6.tif","WOOD_2019_DEM_mosaic_2025-10-22_7.tif","WOOD_2019_DEM_mosaic_2025-10-22_8.tif","WOOD_2019_DEM_mosaic_2025-10-22_9.tif"
"sds_1",0.01278478158539,0.0151431393535687,0.0122722692011338,0.013543039653894,0.0115035006247496,0.00871371153310522,0.0107027000243493,0.0127905373397054,0.0113551022634879,0.0170067525008127,0.0185745699262838,0.0135758224284729,0.0113811282830009,0.00285960889399177,0.000931431198340541,0.00899624399493393,0.00406080979459214,0.00328653571408015,0.00663513347469132,0.00702076901382157,0.0104732206022971,0.00845370158816277,0.0177084540269134,0.0132930397164565,0.00442467356739901,0.0105995969470478,0.0449579467072205,0.0463818702748072,0.0485542921535805,0.0475925806825374,0.0505572946553317,0.0539324189358311,0.0474624505849723,0.0396286187115569,0.0470312695116943,0.0414251648085173
"sfd_1",2.00000019924638,2.00000029737898,2.0000001488065,2.00000034800418,2.00000021163406,2.00000053358936,2.00000007919913,2.00000029910092,2.00000028626693,2.0000000160721,2.00000002469485,2.00000001170494,2.00000007369764,2.00000001207169,2.00000002443676,2.00000002566444,2.0000000148688,2.00000001464074,2.00000005025199,2.00000010367842,2.00000012780629,2.0000000530313,2.00000009257579,2.00000006068386,2.00000005525562,2.00000005679936,2.00000022073734,2.00000021395543,2.00000032761461,2.00000025992027,2.00000024576274,2.00000018498311,2.0000002386369,2.00000043985489,2.0000002440632,2.00000062023947
"srw_1",10.1010101010101,10.1010101010101,10.1010101010101,10.1010101010101,10.1010101010101,10.1010101010101,10.1010101010101,10.1010101010101,10.1010101010101,10.1010101010101,10.1010101010101,10.1010101010101,10.1010101010101,10.1010101010101,10.1010101010101,10.1010101010101,10.1010101010101,10.1010101010101,10.1010101010101,10.1010101010101,10.1010101010101,10.1010101010101,10.1010101010101,10.1010101010101,10.1010101010101,10.1010101010101,10.1010101010101,10.1010101010101,10.1010101010101,10.1010101010101,10.1010101010101,10.1010101010101,10.1010101010101,10.1010101010101,10.1010101010101,10.1010101010101
"srw_2",0.0569186570888006,0.055402633483361,0.0531922647584356,0.0532300009715112,0.0618581324435418,0.0515307821891576,0.0668095415741497,0.0683503043883891,0.0584937726183218,0.0890032889151875,0.0731448440203934,0.0867277298112949,0.0730336680246197,0.0722788725418747,0.0736003530395508,0.0686035723359709,0.0749582596747832,0.0596479264382546,0.0666260529359504,0.0693618047318844,0.0579537655859108,0.060116557620928,0.0695858072563382,0.0733943900650534,0.0620306034299228,0.0623264130190858,0.0883983125128734,0.0804556888698266,0.086168442780653,0.0840184122794435,0.0882465371641146,0.0856365331806902,0.0831608464607043,0.072299654351691,0.0796643426882091,0.0849369345278125
"srw_3",101.010101010101,80.8080808080808,80.8080808080808,70.7070707070707,111.111111111111,60.6060606060606,111.111111111111,111.111111111111,90.9090909090909,161.616161616162,131.313131313131,151.515151515152,141.414141414141,131.313131313131,131.313131313131,131.313131313131,141.414141414141,101.010101010101,131.313131313131,141.414141414141,111.111111111111,101.010101010101,131.313131313131,151.515151515152,121.212121212121,161.616161616162,171.717171717172,161.616161616162,181.818181818182,181.818181818182,191.919191919192,181.818181818182,161.616161616162,161.616161616162,141.414141414141,141.414141414141
"std_1",90,90,90,0,0,0,0,0,0,90,90,90,0,0,90,90,0,0,90,90,0,90,90,0,0,90,0,0,0,0,0,0,90,0,90,90
"std_2",0.0254050322522093,0.0285282966197022,0.0295555831150411,0.0304923164084291,0.0212551694943992,0.0344441923590387,0.0238889903021872,0.0245232062980384,0.0268755574245269,0.037999129415846,0.0310591529801125,0.0255511521270243,0.0233377601684389,0.0212256330977331,0.017171580940225,0.0208301660397696,0.0186765608005431,0.0203625139363034,0.0285641239972916,0.0326052060357448,0.0250230683801579,0.0259539059311886,0.0294526398377055,0.0225272106957994,0.0217490689080651,0.043326361760597,0.0294515045362606,0.0366850159422225,0.0378201211831585,0.0323233453672413,0.0425094654809614,0.0407822783795471,0.0385489517305933,0.0373947210641755,0.0382258230093302,0.035886781018747
"svi_1",-44.905162700555,-44.4779207082519,-44.1207047317904,-44.273742034196,-46.9486339723877,-48.4755038700944,-44.1781497043652,-45.8803271290015,-49.8553969439762,-512.309751953125,-519.052238049583,-531.977414216979,-494.436175391966,-505.069367533802,-529.530943729739,-488.884245875312,-512.383094999844,-502.991786894479,-322.236081819661,-323.679820166016,-327.725493939609,-320.968740760156,-323.403413909167,-324.738065527344,-320.149225602214,-322.566448063151,-322.795569677734,-116.704707929948,-119.290090586758,-116.967996337799,-113.520394295404,-115.516314585404,-115.786123399271,-111.034406747656,-111.496846374505,-112.523454043659
"stxr_1",0.730865535363263,0.726363074710137,0.732276224613855,0.710355098162727,0.694405500919474,0.711425961138383,0.744582167402482,0.734367084573822,0.711727702689749,0.729364599998998,0.727864010074402,0.730894293215755,0.730365079641979,0.727864010074402,0.71635810556049,0.729865055720282,0.729074603396397,0.732366125287859,0.727864010074402,0.727864010074402,0.727363640713036,0.727363640713036,0.727363640713036,0.726363074710137,0.726863530431421,0.727864010074402,0.728364120356017,0.726863530431421,0.729364599998998,0.728364120356017,0.727363640713036,0.728864576077301,0.726863530431421,0.729865055720282,0.726363074710137,0.728864576077301
"stxr_2",0.557932909743696,0.554815446265737,0.557019869517074,0.54379967746298,0.531355083826981,0.544507440165963,0.55840322585381,0.554858755764309,0.543602215511865,0.557779059550863,0.556994263801567,0.558155804690483,0.557859806073624,0.556674732107218,0.549638946457369,0.558053554548292,0.557362545669283,0.559119840448325,0.557120047021248,0.556918785233767,0.556278081006639,0.556753837791549,0.556805524202108,0.555778057084942,0.556278081006639,0.557274544913461,0.557278603829579,0.556156140803282,0.557351318880022,0.556778579907882,0.556753837791549,0.557508450749716,0.556480508653005,0.557753497015315,0.555859105867414,0.557278603829579
"ssc_1",-0.00126935851553859,-0.0010846135656909,-0.00087817581258239,-0.00118324288494714,-0.000997386901676848,-0.00110071690651218,-0.000603547206122956,-0.00123963672923279,-0.00109734343358455,-0.000472119698577412,-0.0006877868086414,-0.000444030623058047,-0.000811472670259902,-0.00031391292031542,-0.000340623971124307,-0.000517658439724314,-0.000353881558180561,-0.00032849761487373,-0.000618336454923817,-0.000870583128180481,-0.00183078959851003,-0.000794344032239484,-0.00123786906871967,-0.00101613938381431,-0.000943595495611167,-0.00121566624818029,-0.00281637995149119,-0.00234830790290732,-0.00214693249946584,-0.00210158257506471,-0.00230988777199802,-0.00212716127767713,-0.00233511412115595,-0.00279224054720695,-0.0024725570232314,-0.00292904574056157
"sv_1",233.255004882812,231.805999755859,226.559997558594,227.317993164062,242.470001220703,249.225997924805,227.490005493164,236.333999633789,256.680999755859,2584.32006835938,2619.89990234375,2679.15991210938,2495.89990234375,2564.6298828125,2750.9599609375,2489.64990234375,2611.05004882812,2561.6201171875,1621.41003417969,1627.63000488281,1646.30004882812,1614.11999511719,1626.68005371094,1631.58996582031,1610.93994140625,1620.68994140625,1621.5400390625,589.549011230469,599.976013183594,589.653991699219,573.453979492188,582.129028320312,583.585021972656,560.3330078125,564.578979492188,566.960021972656
"sph_1",325.557006835938,336.980987548828,357.889007568359,324.992004394531,362.7919921875,354.954010009766,412.803009033203,340.878997802734,362.994995117188,2909.080078125,2844.35009765625,3019.18994140625,2684.69995117188,3211.919921875,3474.669921875,2801.46997070312,3177.8798828125,3144.169921875,1671.11999511719,1671.06994628906,1683.41003417969,1657.69995117188,1657.90002441406,1685.81994628906,1663.31994628906,1665.85998535156,1659.34997558594,633.322021484375,641.841003417969,637.039978027344,612.893981933594,626.388000488281,628.456970214844,596.283996582031,602.258972167969,598.702026367188
"sk_1",56.2040603434863,52.8768534240307,42.2131179209794,36.4522919202551,83.3243442836129,52.0156995366401,46.2039094401041,52.9240597528573,64.8536182560971,129.276819415683,130.141207946721,97.8120438991436,95.8741985896258,290.665351354794,419.860834819888,140.538210940003,284.581009886387,309.91374528458,28.9725603349002,20.7911308899536,18.1746963821977,28.4301854867756,14.94231942538,27.5463173404623,28.2224321605922,22.2511197845388,10.6785396181435,18.8573543691321,19.6808101804779,20.304999753504,19.6168467232434,18.3786808804168,26.733055682891,14.961653374602,12.8540716410009,19.4324761646174
"smean_1",272.950148052598,271.825645145388,267.450882808949,262.27079183437,289.775067579877,287.111155100866,274.029366571803,276.574479660638,297.770137954215,2678.2021620953,2718.79000950727,2779.76612951921,2579.89681511135,2795.67622493155,3151.75837315033,2641.67954277547,2851.34978993226,2782.87049460023,1646.33257166631,1650.42697281369,1662.82564694467,1637.96664174115,1646.3692486009,1653.69314905059,1637.55801777466,1643.02213464499,1637.31012439924,608.309338223919,618.017142946787,611.177216434212,590.845674160667,599.771523096578,600.600914851487,577.585029919737,583.995057889662,582.028516472872
"spk_1",25.4858861831055,42.1938113131486,76.7407556022949,49.0227748265305,30.7289528054962,45.2108473029784,132.885755028297,43.9617787357025,35.4298755813218,174.918604312011,65.9087860156856,212.257619723877,58.1385744496461,321.217447411376,99.4493141528928,82.6791747146603,203.898066142333,232.207956049011,9.56909315924099,10.2487399006345,12.2684418220224,3.60969350933829,2.93978535522456,18.4792115761111,10.779250490845,7.34961283203143,17.4284039326781,15.641869756546,14.963871260254,15.8698879821167,12.6288485295411,18.6208085256347,14.8118906311036,10.5849316866149,10.8188628610841,5.6839865112305
"svk_1",10.6129206778909,10.1049084175112,12.3759673751909,12.1999562053221,6.26996417531552,8.50195958168786,6.22394752589423,7.65996578230295,6.03098113858039,20.5693725581064,28.3996624746678,29.9597742077622,34.799014929441,35.4199494193113,204.408731725221,88.6085158215969,78.3590375406507,40.4394553170177,11.1685853685938,12.4089112866809,6.67902432043479,11.5482002521385,13.3484117427388,8.20936260498115,13.3886715631065,15.5766381714507,9.71878162054622,9.27480078540066,7.22195990600585,11.2119483894044,7.19493330200203,7.25984355273431,3.32800068406652,10.405835556137,14.0078057770997,6.6267928601078
"scl_1",1033.08325195312,1026.71899414062,1035.07727050781,1004.09161376953,981.546752929688,1005.60528564453,1052.47180175781,1038.03271484375,1006.03179931641,1030.96166992188,1028.84057617188,1033.12390136719,1032.37585449219,1028.84057617188,1012.57690429688,1031.66906738281,1030.5517578125,1035.20434570312,1028.84057617188,1028.84057617188,1028.13330078125,1028.13330078125,1028.13330078125,1026.71899414062,1027.42639160156,1028.84057617188,1029.54748535156,1027.42639160156,1030.96166992188,1029.54748535156,1028.13330078125,1030.2548828125,1027.42639160156,1031.66906738281,1026.71899414062,1030.2548828125
"scl_2",1413.50659179688,1413.50659179688,1413.50659179688,1413.50659179688,1413.50659179688,1413.50659179688,1413.50659179688,1413.50659179688,1413.50659179688,1413.50659179688,1413.50659179688,1413.50659179688,1413.50659179688,1413.50659179688,1413.50659179688,1413.50659179688,1413.50659179688,1413.50659179688,1413.50659179688,1413.50659179688,1413.50659179688,1413.50659179688,1413.50659179688,1413.50659179688,1413.50659179688,1413.50659179688,1413.50659179688,1413.50659179688,1413.50659179688,1413.50659179688,1413.50659179688,1413.50659179688,1413.50659179688,1413.50659179688,1413.50659179688,1413.50659179688
"sdc_1",16.5030212402344,22.72998046875,41.2279968261719,27.968017578125,30.6189880371094,28.1490173339844,37.9700012207031,19.7269897460938,29.4840087890625,145.25,41.64013671875,86.60986328125,35.239990234375,111.199951171875,86.97998046875,72.64990234375,60.719970703125,111.89990234375,8.1700439453125,8.0599365234375,6.9100341796875,4.3499755859375,3.3699951171875,16.639892578125,9.389892578125,8.1700439453125,9.9000244140625,9.11102294921875,9.72601318359375,13.02197265625,9.4749755859375,8.16998291015625,14.1499633789062,9.1929931640625,8.5260009765625,6.258056640625
"curvature_1",0.000473211418922869,0.000696666380414794,0.000509645457113623,0.000556041412748484,0.000384418142027127,0.000504244878000031,0.00048663187479407,0.000715146689950344,0.000515456961399081,0.00150843146689035,0.000737007797830674,0.000295522289979582,0.000808561776940887,0.000165981966181066,-0.000499608101530401,0.000669348294002103,-0.000819596112248361,-0.000599155305300284,-5.95117863687647e-05,-4.42366399114795e-05,0.000405597103659303,7.49656960487446e-05,0.000249292334448645,0.000276329752189396,4.17648592363476e-05,0.000213817233573018,0.00409941587413965,0.00191467178139041,0.00034599964397233,0.000983657858530947,0.00116070727243134,0.00144118276739893,0.00150635340714421,0.00147817689083557,0.00158575640890381,0.00153755079407945
"tpi_1",1.71188806426846e-06,-3.14720618216046e-06,2.54965021078573e-05,8.91380546605329e-06,3.03062372280283e-05,-8.61555649197267e-06,1.49739131753846e-05,-4.95158378658667e-06,1.02803355130337e-05,-4.60339435110976e-05,-1.84430566349685e-05,-6.09787011654859e-05,-6.30744500834299e-05,-3.62974392234041e-05,0.000139465912584908,2.07003494538608e-05,0.000119530757848725,-0.000124178415214923,1.07008649059121e-05,-5.21281299126885e-06,5.20215121611558e-06,-4.65706881202576e-07,-8.25518687873084e-06,8.49476423492636e-08,2.93306521012477e-06,8.0205632709243e-06,-7.75000288951324e-06,1.08812452887094e-06,8.0723822840688e-06,-1.33608724735647e-06,-4.3249450035398e-06,-7.00046107121246e-06,2.30016416312992e-06,1.43056355393518e-06,1.37021478067006e-07,-5.90718063291244e-06
"tri_1",0.476783040467796,0.587982294500878,0.609976508465238,0.549301861839897,0.558286186222115,0.700913901188732,0.647315515330136,0.556736426362272,0.55802055939848,0.507058433414555,0.491640902904717,0.599161569577328,0.610162968117403,1.00353651020831,1.35684160208093,0.69750674594106,0.992191602024856,1.03442750060454,0.128064092575691,0.137819608204646,0.152749071493094,0.120118316598015,0.103218241464873,0.134157064733351,0.138579980774632,0.115714505421711,0.163720619931001,0.252021802691152,0.258226327884684,0.271510412140223,0.233938331882892,0.239676444194029,0.272551127757876,0.250432128093772,0.229357129505869,0.24967969972751
"vrm_1",0.00120627549255505,0.00165279860041871,0.00157973543335169,0.00160890173889138,0.00157339335426932,0.00165804793438677,0.00192328621560782,0.0022699339645131,0.00155216586502624,0.00197714394204239,0.00229091127724708,0.00244880369245522,0.00235120955690441,0.00329248151425869,0.00443372932136652,0.00233941886525327,0.00401840375200302,0.0032945120300983,0.000102492930953226,0.000143562831418148,0.000143116744913885,0.000116512673997845,0.000139183738199194,0.000149359103736091,0.00011049317704993,0.000125556342291983,0.000432254258002008,0.000692556332784774,0.00102734624523729,0.00112155617957945,0.000816853591597075,0.000781181427757939,0.00090929676818537,0.000719646489560718,0.000595080841220486,0.000761879006746374
"sar_1",0.980668993376,0.967232455928413,0.965384434878014,0.970730079455565,0.972537306846384,0.95587204080146,0.960663821954989,0.970581410372244,0.970911963546603,0.977174262885293,0.979038766152937,0.96708259494383,0.966470623804495,0.923755347173201,0.882228938399279,0.958069532655223,0.928227364272433,0.920849949372198,0.998358209782599,0.99812576760635,0.997718270085992,0.998377108056774,0.998787437694038,0.998300044229641,0.998128779362148,0.998776801204428,0.997943886096193,0.995803912999323,0.995243957972578,0.995017201330996,0.996740292059523,0.996428476385172,0.995297998120663,0.995767015329489,0.99652938687754,0.994982004927567
"raster.entropy_1",3.21740735141476,3.21740693204163,3.21740689184695,3.21740696794576,3.21740718451985,3.21740674052928,3.21740672431972,3.21740671018267,3.21740712964095,3.21740787945622,3.21737649634427,3.21740787639472,3.21740385123233,3.21740786085003,3.21740785292787,3.21740787216289,3.21740786366138,3.2174078600466,3.21740788531854,3.21740788515077,3.21740788486292,3.21740788530826,3.21740788567967,3.21740788532108,3.21740788510087,3.21740788563064,3.21740788489296,3.21740786381578,3.21740786177295,3.21740786021306,3.21740786861407,3.21740786681551,3.21740786036,3.21740786139139,3.21740706157656,3.21740785676149
"AdjSD_1",0.0389691873088005,0.0424183130453887,0.0405770331922614,0.0396013707112782,0.0416895414396749,0.0410750176809227,0.0416217135483547,0.0446855065173958,0.0386527572391177,0.0473828809825076,0.0497336771344477,0.0502223284967469,0.0489270520457296,0.0651812667588961,0.0886434075334761,0.0517522315954561,0.0713358619376261,0.0693006979400152,0.0106139437790762,0.0118103576768632,0.0127377919688666,0.0106466312640584,0.0116196127999661,0.0131360588115319,0.0108014084702578,0.0114647223155544,0.0251212858164832,0.0360737380990456,0.0380056080214496,0.0398219151817203,0.0364048646740286,0.0373468676958672,0.0405074868162073,0.0343468761472581,0.0331796339876414,0.0322425140678086
"RIE_1",0.0430526576059639,0.0464268980644359,0.0442954721428977,0.042845110812371,0.0455823261061295,0.0444722922184806,0.0448071733932334,0.0483577453111041,0.0421527488195387,0.052514631722642,0.0551626856064508,0.0556064337991004,0.0536409657231204,0.0715459107283643,0.0983495173795569,0.0572978185229039,0.0793231524818628,0.0767024003590556,0.0121097867948754,0.0135250688768134,0.0145197106731732,0.0119267637112517,0.0133022264977851,0.0148505143521421,0.0122525450252799,0.0131773166402595,0.0286516298324203,0.041243155869639,0.0438847715137741,0.0459038464659227,0.0423109592200792,0.042820679156897,0.0464491991793798,0.039444017479423,0.0379381317311,0.0365626254136335
