func,ORNL_2018_DEM_mosaic_2025-10-22_1.tif_1,ORNL_2018_DEM_mosaic_2025-10-22_2.tif_1,ORNL_2018_DEM_mosaic_2025-10-22_3.tif_1,ORNL_2018_DEM_mosaic_2025-10-22_4.tif_1,ORNL_2018_DEM_mosaic_2025-10-22_5.tif_1,ORNL_2018_DEM_mosaic_2025-10-22_6.tif_1,ORNL_2018_DEM_mosaic_2025-10-22_7.tif_1,ORNL_2018_DEM_mosaic_2025-10-22_8.tif_1,ORNL_2018_DEM_mosaic_2025-10-22_9.tif_1,RMNP_2020_DEM_mosaic_2025-10-22_1.tif_1,RMNP_2020_DEM_mosaic_2025-10-22_2.tif_1,RMNP_2020_DEM_mosaic_2025-10-22_3.tif_1,RMNP_2020_DEM_mosaic_2025-10-22_4.tif_1,RMNP_2020_DEM_mosaic_2025-10-22_5.tif_1,RMNP_2020_DEM_mosaic_2025-10-22_6.tif_1,RMNP_2020_DEM_mosaic_2025-10-22_7.tif_1,RMNP_2020_DEM_mosaic_2025-10-22_8.tif_1,RMNP_2020_DEM_mosaic_2025-10-22_9.tif_1,CPER_2020_DEM_mosaic_2025-10-22_1.tif_1,CPER_2020_DEM_mosaic_2025-10-22_2.tif_1,CPER_2020_DEM_mosaic_2025-10-22_3.tif_1,CPER_2020_DEM_mosaic_2025-10-22_4.tif_1,CPER_2020_DEM_mosaic_2025-10-22_5.tif_1,CPER_2020_DEM_mosaic_2025-10-22_6.tif_1,CPER_2020_DEM_mosaic_2025-10-22_7.tif_1,CPER_2020_DEM_mosaic_2025-10-22_8.tif_1,CPER_2020_DEM_mosaic_2025-10-22_9.tif_1,WOOD_2019_DEM_mosaic_2025-10-22_1.tif_1,WOOD_2019_DEM_mosaic_2025-10-22_2.tif_1,WOOD_2019_DEM_mosaic_2025-10-22_3.tif_1,WOOD_2019_DEM_mosaic_2025-10-22_4.tif_1,WOOD_2019_DEM_mosaic_2025-10-22_5.tif_1,WOOD_2019_DEM_mosaic_2025-10-22_6.tif_1,WOOD_2019_DEM_mosaic_2025-10-22_7.tif_1,WOOD_2019_DEM_mosaic_2025-10-22_8.tif_1,WOOD_2019_DEM_mosaic_2025-10-22_9.tif_1,WOOD_2020_DEM_mosaic_20251005.tif_1,ORNL_2018_DEM_mosaic_2025-10-22_1.tif_2,ORNL_2018_DEM_mosaic_2025-10-22_1.tif_3,ORNL_2018_DEM_mosaic_2025-10-22_2.tif_2,ORNL_2018_DEM_mosaic_2025-10-22_2.tif_3,ORNL_2018_DEM_mosaic_2025-10-22_3.tif_2,ORNL_2018_DEM_mosaic_2025-10-22_3.tif_3,ORNL_2018_DEM_mosaic_2025-10-22_4.tif_2,ORNL_2018_DEM_mosaic_2025-10-22_4.tif_3,ORNL_2018_DEM_mosaic_2025-10-22_5.tif_2,ORNL_2018_DEM_mosaic_2025-10-22_5.tif_3,ORNL_2018_DEM_mosaic_2025-10-22_6.tif_2,ORNL_2018_DEM_mosaic_2025-10-22_6.tif_3,ORNL_2018_DEM_mosaic_2025-10-22_7.tif_2,ORNL_2018_DEM_mosaic_2025-10-22_7.tif_3,ORNL_2018_DEM_mosaic_2025-10-22_8.tif_2,ORNL_2018_DEM_mosaic_2025-10-22_8.tif_3,ORNL_2018_DEM_mosaic_2025-10-22_9.tif_2,ORNL_2018_DEM_mosaic_2025-10-22_9.tif_3,RMNP_2020_DEM_mosaic_2025-10-22_1.tif_2,RMNP_2020_DEM_mosaic_2025-10-22_1.tif_3,RMNP_2020_DEM_mosaic_2025-10-22_2.tif_2,RMNP_2020_DEM_mosaic_2025-10-22_2.tif_3,RMNP_2020_DEM_mosaic_2025-10-22_3.tif_2,RMNP_2020_DEM_mosaic_2025-10-22_3.tif_3,RMNP_2020_DEM_mosaic_2025-10-22_4.tif_2,RMNP_2020_DEM_mosaic_2025-10-22_4.tif_3,RMNP_2020_DEM_mosaic_2025-10-22_5.tif_2,RMNP_2020_DEM_mosaic_2025-10-22_5.tif_3,RMNP_2020_DEM_mosaic_2025-10-22_6.tif_2,RMNP_2020_DEM_mosaic_2025-10-22_6.tif_3,RMNP_2020_DEM_mosaic_2025-10-22_7.tif_2,RMNP_2020_DEM_mosaic_2025-10-22_7.tif_3,RMNP_2020_DEM_mosaic_2025-10-22_8.tif_2,RMNP_2020_DEM_mosaic_2025-10-22_8.tif_3,RMNP_2020_DEM_mosaic_2025-10-22_9.tif_2,RMNP_2020_DEM_mosaic_2025-10-22_9.tif_3,CPER_2020_DEM_mosaic_2025-10-22_1.tif_2,CPER_2020_DEM_mosaic_2025-10-22_1.tif_3,CPER_2020_DEM_mosaic_2025-10-22_2.tif_2,CPER_2020_DEM_mosaic_2025-10-22_2.tif_3,CPER_2020_DEM_mosaic_2025-10-22_3.tif_2,CPER_2020_DEM_mosaic_2025-10-22_3.tif_3,CPER_2020_DEM_mosaic_2025-10-22_4.tif_2,CPER_2020_DEM_mosaic_2025-10-22_4.tif_3,CPER_2020_DEM_mosaic_2025-10-22_5.tif_2,CPER_2020_DEM_mosaic_2025-10-22_5.tif_3,CPER_2020_DEM_mosaic_2025-10-22_6.tif_2,CPER_2020_DEM_mosaic_2025-10-22_6.tif_3,CPER_2020_DEM_mosaic_2025-10-22_7.tif_2,CPER_2020_DEM_mosaic_2025-10-22_7.tif_3,CPER_2020_DEM_mosaic_2025-10-22_8.tif_2,CPER_2020_DEM_mosaic_2025-10-22_8.tif_3,CPER_2020_DEM_mosaic_2025-10-22_9.tif_2,CPER_2020_DEM_mosaic_2025-10-22_9.tif_3,WOOD_2019_DEM_mosaic_2025-10-22_1.tif_2,WOOD_2019_DEM_mosaic_2025-10-22_1.tif_3,WOOD_2019_DEM_mosaic_2025-10-22_2.tif_2,WOOD_2019_DEM_mosaic_2025-10-22_2.tif_3,WOOD_2019_DEM_mosaic_2025-10-22_3.tif_2,WOOD_2019_DEM_mosaic_2025-10-22_3.tif_3,WOOD_2019_DEM_mosaic_2025-10-22_4.tif_2,WOOD_2019_DEM_mosaic_2025-10-22_4.tif_3,WOOD_2019_DEM_mosaic_2025-10-22_5.tif_2,WOOD_2019_DEM_mosaic_2025-10-22_5.tif_3,WOOD_2019_DEM_mosaic_2025-10-22_6.tif_2,WOOD_2019_DEM_mosaic_2025-10-22_6.tif_3,WOOD_2019_DEM_mosaic_2025-10-22_7.tif_2,WOOD_2019_DEM_mosaic_2025-10-22_7.tif_3,WOOD_2019_DEM_mosaic_2025-10-22_8.tif_2,WOOD_2019_DEM_mosaic_2025-10-22_8.tif_3,WOOD_2019_DEM_mosaic_2025-10-22_9.tif_2,WOOD_2019_DEM_mosaic_2025-10-22_9.tif_3,WOOD_2020_DEM_mosaic_20251005.tif_2,WOOD_2020_DEM_mosaic_20251005.tif_3
sds,0.012784782,0.015143139,0.012272269,0.01354304,0.011503501,0.008713712,0.0107027,0.012790537,0.011355102,0.017006753,0.01857457,0.013575822,0.011381128,0.002859609,0.000931431,0.008996244,0.00406081,0.003286536,0.006635133,0.007020769,0.010473221,0.008453702,0.017708454,0.01329304,0.004424674,0.010599597,0.044957947,0.04638187,0.048554292,0.047592581,0.050557295,0.053932419,0.047462451,0.039628619,0.04703127,0.041425165,0.029330573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sfd,2.000000199,2.000000297,2.000000149,2.000000348,2.000000212,2.000000534,2.000000079,2.000000299,2.000000286,2.000000016,2.000000025,2.000000012,NA,2.000000012,2.000000024,2.000000026,2.000000015,2.000000015,2.00000005,2.000000104,2.000000128,2.000000053,NA,NA,2.000000055,2.000000057,2.000000221,2.000000214,2.000000328,2.00000026,2.000000246,2.000000185,2.000000239,2.00000044,2.000000244,2.00000062,2.000000189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
srw,10.1010101,10.1010101,10.1010101,10.1010101,10.1010101,10.1010101,10.1010101,10.1010101,10.1010101,10.1010101,10.1010101,10.1010101,5.050505051,10.1010101,10.1010101,10.1010101,10.1010101,10.1010101,6.97979798,10.1010101,10.1010101,10.1010101,5.04040404,4.454545455,10.1010101,10.1010101,10.1010101,10.1010101,10.1010101,10.1010101,10.1010101,10.1010101,10.1010101,10.1010101,10.1010101,10.1010101,10.1010101,0.056918657,101.010101,0.055402633,80.80808081,0.053192265,80.80808081,0.053230001,70.70707071,0.061858132,111.1111111,0.051530782,60.60606061,0.066809542,111.1111111,0.068350304,111.1111111,0.058493773,90.90909091,0.089003289,161.6161616,0.073144844,131.3131313,0.08672773,151.5151515,0.085974628,75.75757576,0.072278873,131.3131313,0.073600353,131.3131313,0.068603572,131.3131313,0.07495826,141.4141414,0.059647926,101.010101,0.058748595,83.75757576,0.069361805,141.4141414,0.057953766,111.1111111,0.060116558,101.010101,0.074326022,80.64646465,0.070970234,57.90909091,0.062030603,121.2121212,0.062326413,161.6161616,0.088398313,171.7171717,0.080455689,161.6161616,0.086168443,181.8181818,0.084018412,181.8181818,0.088246537,191.9191919,0.085636533,181.8181818,0.083160846,161.6161616,0.072299654,161.6161616,0.079664343,141.4141414,0.084936935,141.4141414,0.057972288,90.90909091
std,90,90,90,0,0,0,0,0,0,90,90,90,0,0,90,90,0,0,0,90,0,90,0,0,0,90,0,0,0,0,0,0,90,0,90,90,0,0.025405032,NA,0.028528297,NA,0.029555583,NA,0.030492316,NA,0.021255169,NA,0.034444192,NA,0.02388899,NA,0.024523206,NA,0.026875557,NA,0.037999129,NA,0.031059153,NA,0.025551152,NA,0.028116313,NA,0.021225633,NA,0.017171581,NA,0.020830166,NA,0.018676561,NA,0.020362514,NA,0.019086642,NA,0.032605206,NA,0.025023068,NA,0.025953906,NA,0.035918705,NA,0.018310274,NA,0.021749069,NA,0.043326362,NA,0.029451505,NA,0.036685016,NA,0.037820121,NA,0.032323345,NA,0.042509465,NA,0.040782278,NA,0.038548952,NA,0.037394721,NA,0.038225823,NA,0.035886781,NA,0.024958982,NA
svi,-44.9051627,-44.47792071,-44.12070473,-44.27374203,-46.94863397,-48.47550387,-44.1781497,-45.88032713,-49.85539694,-512.309752,-519.052238,-531.9774142,-494.4361734,-505.0693675,-529.5309437,-488.8842459,-512.383095,-502.9917869,-322.2360818,-323.6798202,-327.7254939,-320.9687408,-323.4034135,-324.7380655,-320.1492256,-322.5664481,-322.7955697,-116.7047079,-119.2900906,-116.9679963,-113.5203943,-115.5163146,-115.7861234,-111.0344067,-111.4968464,-112.523454,-104.7065134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
stxr,0.730865535,0.726363075,0.732276225,0.710355098,0.694405501,0.711425961,0.744582167,0.734367085,0.711727703,0.7293646,0.72786401,0.730894293,NA,0.72786401,0.716358106,0.729865056,0.729074603,0.732366125,0.420722754,0.72786401,0.727363641,0.727363641,NA,NA,0.72686353,0.72786401,0.72836412,0.72686353,0.7293646,0.72836412,0.727363641,0.728864576,0.72686353,0.729865056,0.726363075,0.728864576,0.724362115,0.55793291,NA,0.554815446,NA,0.55701987,NA,0.543799677,NA,0.531355084,NA,0.54450744,NA,0.558403226,NA,0.554858756,NA,0.543602216,NA,0.55777906,NA,0.556994264,NA,0.558155805,NA,NA,NA,0.556674732,NA,0.549638946,NA,0.558053555,NA,0.557362546,NA,0.55911984,NA,0.230669574,NA,0.556918785,NA,0.556278081,NA,0.556753838,NA,NA,NA,NA,NA,0.556278081,NA,0.557274545,NA,0.557278604,NA,0.556156141,NA,0.557351319,NA,0.55677858,NA,0.556753838,NA,0.557508451,NA,0.556480509,NA,0.557753497,NA,0.555859106,NA,0.557278604,NA,0.554777577,NA
ssc,-0.001269359,-0.001084614,-0.000878176,-0.001183243,-0.000997387,-0.001100717,-0.000603547,-0.001239637,-0.001097343,-0.00047212,-0.000687787,-0.000444031,-0.000811473,-0.000313913,-0.000340624,-0.000517658,-0.000353882,-0.000328498,-0.000618336,-0.000870583,-0.00183079,-0.000794344,-0.001237869,-0.001016139,-0.000943595,-0.001215666,-0.00281638,-0.002348308,-0.002146932,-0.002101583,-0.002309888,-0.002127161,-0.002335114,-0.002792241,-0.002472557,-0.002929046,-0.001493303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sv,233.2550049,231.8059998,226.5599976,227.3179932,242.4700012,249.2259979,227.4900055,236.3339996,256.6809998,2584.320068,2619.899902,2679.159912,2495.899902,2564.629883,2750.959961,2489.649902,2611.050049,2561.620117,1621.410034,1627.630005,1646.300049,1614.119995,1626.680054,1631.589966,1610.939941,1620.689941,1621.540039,589.5490112,599.9760132,589.6539917,573.4539795,582.1290283,583.585022,560.3330078,564.5789795,566.960022,528.1229858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sph,325.5570068,336.9809875,357.8890076,324.9920044,362.7919922,354.95401,412.803009,340.8789978,362.9949951,2909.080078,2844.350098,3019.189941,2684.699951,3211.919922,3474.669922,2801.469971,3177.879883,3144.169922,1671.119995,1671.069946,1683.410034,1657.699951,1657.900024,1685.819946,1663.319946,1665.859985,1659.349976,633.3220215,641.8410034,637.039978,612.8939819,626.3880005,628.4569702,596.2839966,602.2589722,598.7020264,593.8790283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sk,56.20406034,52.87685342,42.21311792,36.45229192,83.32434428,52.01569954,46.20390944,52.92405975,64.85361826,129.2768194,130.1412079,97.84592878,95.87088981,290.6653514,419.8608348,140.5382109,284.5810099,309.8947498,28.97255309,20.79113089,18.17469638,28.43018549,14.94231569,27.54631045,28.22243216,22.25111978,10.67853962,18.85735437,19.68081018,20.30499975,19.61684672,18.37868088,26.73305568,14.96165337,12.85407164,19.43247616,39.18895846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smean,272.9501481,271.8256451,267.4508828,262.2707918,289.7750676,287.1111551,274.0293666,276.5744797,297.770138,2678.202162,2718.79001,2779.76613,2579.89682,2795.676225,3151.758373,2641.679543,2851.34979,2782.870495,1646.332574,1650.426973,1662.825647,1637.966642,1646.36925,1653.693145,1637.558018,1643.022135,1637.310124,608.3093382,618.0171429,611.1772164,590.8456742,599.7715231,600.6009149,577.5850299,583.9950579,582.0285165,559.2792774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spk,25.48588618,42.19381131,76.7407556,49.02277483,30.72895281,45.2108473,132.885755,43.96177874,35.42987558,174.9186043,65.90878602,212.2376008,58.13857445,321.2174474,99.44931415,82.67917471,203.8980661,232.2179657,9.569093159,10.2487399,12.26844182,3.609693509,2.939785355,18.47921158,10.77925049,7.349612832,17.42840393,15.64186976,14.96387126,15.86988798,12.62884853,18.62080853,14.81189063,10.58493169,10.81886286,5.683986511,8.358006538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
svk,10.61292068,10.10490842,12.37596738,12.19995621,6.269964175,8.501959582,6.223947526,7.659965782,6.030981139,20.56937256,28.39966247,29.9497649,34.79901493,35.41994942,204.4087317,88.60851582,78.35903754,40.43945532,11.16858537,12.40891129,6.67902432,11.54820025,13.34841174,8.209362605,13.38867156,15.57663817,9.718781621,9.274800785,7.221959906,11.21194839,7.194933302,7.259843553,3.328000684,10.40583556,14.00780578,6.62679286,18.20967293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scl,1033.083252,1026.718994,1035.077271,1004.091614,981.5467529,1005.605286,1052.471802,1038.032715,1006.031799,1030.96167,1028.840576,1033.123901,NA,1028.840576,1012.576904,1031.669067,1030.551758,1035.204346,511.1565247,1028.840576,1028.133301,1028.133301,NA,NA,1027.426392,1028.840576,1029.547485,1027.426392,1030.96167,1029.547485,1028.133301,1030.254883,1027.426392,1031.669067,1026.718994,1030.254883,1023.890625,1413.506592,NA,1413.506592,NA,1413.506592,NA,1413.506592,NA,1413.506592,NA,1413.506592,NA,1413.506592,NA,1413.506592,NA,1413.506592,NA,1413.506592,NA,1413.506592,NA,1413.506592,NA,NA,NA,1413.506592,NA,1413.506592,NA,1413.506592,NA,1413.506592,NA,1413.506592,NA,1214.948608,NA,1413.506592,NA,1413.506592,NA,1413.506592,NA,NA,NA,NA,NA,1413.506592,NA,1413.506592,NA,1413.506592,NA,1413.506592,NA,1413.506592,NA,1413.506592,NA,1413.506592,NA,1413.506592,NA,1413.506592,NA,1413.506592,NA,1413.506592,NA,1413.506592,NA,1413.506592,NA
sdc,16.50302124,22.72998047,41.22799683,27.96801758,30.61898804,28.14901733,37.97000122,19.72698975,29.48400879,145.25,41.64013672,86.60986328,35.23999023,111.1999512,86.97998047,72.64990234,60.7199707,111.8999023,8.170043945,8.059936523,6.91003418,4.349975586,3.369995117,16.63989258,9.389892578,8.170043945,9.900024414,9.111022949,9.726013184,13.02197266,9.474975586,8.16998291,14.14996338,9.192993164,8.526000977,6.258056641,10.1260376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
curvature,0.000473211,0.000696666,0.000509645,0.000556041,0.000384418,0.000504245,0.000486632,0.000715147,0.000515457,0.001508431,0.000737008,0.000295522,0.000808551,0.000165982,-0.000499608,0.000669348,-0.000819596,-0.000599155,-5.95E-05,-4.42E-05,0.000405597,7.50E-05,0.000249297,0.00027632,4.18E-05,0.000213817,0.004099416,0.001914672,0.000346,0.000983658,0.001160707,0.001441183,0.001506353,0.001478177,0.001585756,0.001537551,0.000499832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tpi,1.71E-06,-3.15E-06,2.55E-05,8.91E-06,3.03E-05,-8.62E-06,1.50E-05,-4.95E-06,1.03E-05,-4.60E-05,-1.84E-05,-6.10E-05,-6.31E-05,-3.63E-05,0.000139466,2.07E-05,0.000119531,-0.000124178,1.07E-05,-5.21E-06,5.20E-06,-4.66E-07,-8.25E-06,7.71E-08,2.93E-06,8.02E-06,-7.75E-06,1.09E-06,8.07E-06,-1.34E-06,-4.32E-06,-7.00E-06,2.30E-06,1.43E-06,1.37E-07,-5.91E-06,-1.93E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tri,0.47678304,0.587982295,0.609976508,0.549301862,0.558286186,0.700913901,0.647315515,0.556736426,0.558020559,0.507058433,0.491640903,0.59916157,0.610162952,1.00353651,1.356841602,0.697506746,0.992191602,1.034427501,0.128064086,0.137819608,0.152749071,0.120118317,0.103218233,0.134157035,0.138579981,0.115714505,0.16372062,0.252021803,0.258226328,0.271510412,0.233938332,0.239676444,0.272551128,0.250432128,0.22935713,0.2496797,0.317692454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vrm,0.001206275,0.001652799,NA,NA,NA,0.001658048,0.001923286,0.002269934,0.001552166,0.001977144,0.002290911,0.002448804,0.002351208,0.003292482,0.004433729,0.002339419,0.004018404,0.003294512,0.000102493,0.000143563,0.000143117,0.000116513,0.000139184,0.00014936,0.000110493,0.000125556,0.000432254,0.000692556,0.001027346,0.001121556,0.000816854,0.000781181,0.000909297,0.000719646,0.000595081,0.000761879,0.000735669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sar,0.980668993,0.967232456,0.965384435,0.970730079,0.972537307,0.955872041,0.960663822,0.97058141,0.970911964,0.977174263,0.979038766,0.967082595,0.966470585,0.923755347,0.882228938,0.958069533,0.928227364,0.920849949,0.998358209,0.998125768,0.99771827,0.998377108,0.998787437,0.998300046,0.998128779,0.998776801,0.997943886,0.995803913,0.995243958,0.995017201,0.996740292,0.996428476,0.995297998,0.995767015,0.996529387,0.994982005,0.992563691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
raster.entropy,3.217407351,3.217406932,3.217406892,3.217406968,3.217407185,3.217406741,3.217406724,3.21740671,3.21740713,3.217407879,3.217376496,3.217407876,3.217403596,3.217407861,3.217407853,3.217407872,3.217407864,3.21740786,3.21740763,3.217407885,3.217407885,3.217407885,3.217407631,3.21740763,3.217407885,3.217407886,3.217407885,3.217407864,3.217407862,3.21740786,3.217407869,3.217407867,3.21740786,3.217407861,3.217407062,3.217407857,3.217273451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
